0	-18	0	1.0
0	-18	1	0.6246950475544243
0	-18	1	0.40323891927275596
0	-18	1	0.4634146341463414
0	-18	1	-0.06375767130633388
0	-18	1	0.5121951219512196
0	-18	2	0.1746075739423946
0	-18	3	-0.1746075739423946
0	-18	4	0.0
0	-18	4	0.24441445020945723
0	-18	1	0.6246950475544243
0	-18	0	1.0
0	-18	1	0.4303314829119352
0	-18	2	-0.10411584125907068
0	-18	2	-0.6123724356957944
0	-18	2	0.3644054444067476
0	-18	3	-0.18633899812498247
0	-18	4	0.37267799624996495
0	-18	5	-0.18633899812498247
0	-18	5	-0.16051447078102565
0	-18	1	0.40323891927275596
0	-18	1	0.4303314829119352
0	-18	0	1.0
0	-18	1	0.0
0	-18	2	0.0
0	-18	2	0.604858378909134
0	-18	3	-0.2886751345948129
0	-18	4	0.0
0	-18	5	0.0
0	-18	5	0.0
0	-18	1	0.4634146341463414
0	-18	2	-0.10411584125907068
0	-18	1	0.0
0	-18	0	1.0
0	-18	1	0.3825460278380029
0	-18	2	-0.024390243902438994
0	-18	2	0.34921514788478913
0	-18	3	-0.6984302957695783
0	-18	4	0.17460757394239457
0	-18	4	0.3196188964277517
0	-18	1	-0.06375767130633388
0	-18	2	-0.6123724356957944
0	-18	2	0.0
0	-18	1	0.3825460278380029
0	-18	0	1.0
0	-18	2	-0.06375767130633384
0	-18	1	0.4564354645876384
0	-18	2	-0.2282177322938192
0	-18	3	0.2282177322938192
0	-18	3	0.09829463743659807
0	-18	1	0.5121951219512196
0	-18	2	0.3644054444067476
0	-18	2	0.604858378909134
0	-18	2	-0.024390243902438994
0	-18	2	-0.06375767130633384
0	-18	0	1.0
0	-18	1	0.1746075739423946
0	-18	2	-0.17460757394239454
0	-18	3	0.1746075739423946
0	-18	3	-0.1316077808820154
0	-18	2	0.1746075739423946
0	-18	3	-0.18633899812498247
0	-18	3	-0.2886751345948129
0	-18	2	0.34921514788478913
0	-18	1	0.4564354645876384
0	-18	1	0.1746075739423946
0	-18	0	1.0
0	-18	1	0.0
0	-18	2	0.125
